,0,1
0,whether,public
1,italian,public
2,public,officials
3,significant,public
4,strict,public
5,current,public
6,restrict,public
7,enables,public
8,public,website
9,prompt,public
10,government,public
11,public,salience
12,public,areas
13,public,heath
14,recommended,public
15,public,transportation
16,rigorous,public
17,serious,public
18,future,public
19,evaluate,public
20,background,public
21,manage,public
22,public,perception
23,provide,public
24,important,public
25,bmc,public
26,implemented,public
27,allows,public
28,effective,public
29,unprecedented,public
30,public,plays
31,immediate,public
32,huge,public
33,public,279
34,public,health
35,public,transports
36,public,safety
37,public,transportations
38,following,public
39,endorse,public
40,public,records
41,receiving,public
42,public,say
43,traditional,public
44,public,alarm
45,control,public
46,without,public
47,public,datasets
48,public,believe
49,earliest,public
50,canadas,public
51,public,understanding
52,collected,public
53,major,public
54,global,public
55,public,available
56,used,public
57,public,awareness
58,public,due
